,extra_noise,now_or_never
0,0.0,0.05952611268340883
1,0.1,0.07167628268387219
2,0.2,0.08887562416862531
3,0.3,0.09847587522705678
4,0.4,0.09334443927298253
5,0.5,0.10946712866911383
6,0.6,0.1262816428593499
7,0.7,0.1307678968263904
8,0.8,0.14337461696802808
9,0.9,0.136968084416814
10,1.0,0.15908625373451094
11,1.1,0.14579923459867017
12,1.2,0.13259199452259515
13,1.3,0.1318938679581854
14,1.4,0.15637488736296526
15,1.5,0.16774775635058753
16,1.6,0.15083380957971723
17,1.7,0.146633583857701
18,1.8,0.1577292162319548
19,1.9,0.17246991627153005
